user.state.subs,binari.engaged,total.user.time.played.week.journey,periodicity,daytime.listened,total.user.skipped.week.journey,v1.perc.listened,artists.playlists.perc.listened,charts.perc.listened,content.lens.perc.listened,now.series.perc.listened,offline.playlists.perc.listened,online.playlist.perc.listened,playlists.perc.listened,promo.perc.listened,radio.perc.listened,recently.played.perc.listened,search.perc.listened,unknown.perc.listened,total.user.ratio.success.search.play.after30.sec,total.avg.time.background.week.journey,total.avg.time.foreground.week.journey,total.unique.playlists.played.week.journey,total.user.created.week.journey,total.user.trackadded.week.journey,total.user.ratio.skipped.week.journey,total.user.ratio.saved.week.journey,total.user.ratio.added.week.journey,songs.per.playlist.ratio
53,No,12218.4,2.331,Day,16.333,0,3.75,0,2.25,5.8,0,70.76,12.25,33.275,0,6.3,28.7,0,75,64665,6508.4,6.8,2,33,17.413,0,35.181,16.5
53,No,6991.75,1.394,Day,30.75,0,0,0,1.8,0,98.675,0,0,0,0,0,0.3,0,20,31537.25,10072.6,2,0,0,18.088,5,0,0
53,Yes,1661.4,1.648,Night,56.6,0,0,0,54.2,4.5,7.2,15.033,40.4,50.933,50.833,0,0,0,88.9,4315.4,203.8,10.6,0,0,81.792,0,0,0
117,No,3745.778,0.616,Day,67,0,12.45,12,14.5,50.55,23.95,0,50.4,15.7,60.2,0,35.6,0,30,43844.25,1380.111,7,0,0,82.153,0,0,0
117,No,1329,0,Day,6,0,0,0,25,18.8,0,0,0,56.3,0,0,0,0,0,1177,78.333,4,0,0,37.5,0,0,0
23,No,2925.5,2.868,Day,2,0,92.9,7.1,0,0,0,0,0,0,100,0,0,0,0,1714.5,1889,2,0,3.5,13.793,0,24.138,0
53,Yes,6992.875,0.868,Day,7.429,0,0,0,0,0,66.256,47.733,0,0,0,9.2,0.6,0,12.5,46435.5,407.818,1.875,2,26.333,11.768,8.713,41.716,39.5
23,No,3789.429,0.948,Day,58.2,0,0.2,0,0,4.5,100,0,25.9,41.067,78.525,0,35.367,0,88.9,27070.5,1392.375,9.429,2,2,72.62,9.358,2.496,1
53,Yes,2515.429,2.048,Day,17.2,0,100,0,14.3,63.367,0,0,92.5,58.7,0,0,85.7,0,100,9679.571,366,1.571,2,1,58.447,3.398,3.398,0.5
23,No,3461,0.473,Early,24,0,0,28.1,0,0,68,0,0,0,0,7.9,28.1,0,0,12418.667,362.333,3.5,0,0,52.174,30.435,0,0
23,No,9802.5,0.347,Night,54.5,0,0,0,0,42.85,0,0,44.1,0,7.1,19.1,0,0,0,46252,348,4,0,0,52.404,0,0,0
